               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.023471,            0.012912,          0.00079925,             0.95853,             0.81627,             0.88273,             0.46429,             0.03214,           0.0079276,          0.00046593,            0.005347,            0.005347,            0.005347
                  96,            0.023452,            0.013015,          0.00076473,             0.87221,              0.8612,             0.87028,             0.47111,            0.030608,           0.0077171,           0.0014383,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023713,            0.013116,          0.00091335,             0.89119,             0.83815,              0.8773,             0.46011,            0.031698,           0.0081411,          0.00041621,            0.005248,            0.005248,            0.005248
                  98,            0.024502,            0.013758,          0.00083611,             0.91331,             0.82612,             0.85648,             0.49029,              0.0296,           0.0081427,           0.0006173,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024182,            0.013761,          0.00078927,             0.87996,             0.80272,              0.8395,             0.45726,            0.030542,           0.0083331,           0.0019497,            0.005149,            0.005149,            0.005149
                 100,            0.022568,             0.01236,          0.00063344,             0.92442,             0.78273,             0.85426,             0.48281,            0.029936,           0.0081204,          0.00074053,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024203,            0.013067,          0.00049883,              0.8927,             0.84084,             0.86407,             0.48004,            0.029491,           0.0078892,          0.00048104,             0.00505,             0.00505,             0.00505
                 102,            0.023697,            0.013354,          0.00083805,             0.89099,             0.79974,             0.84181,             0.44199,            0.031726,           0.0083745,             0.00282,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024463,            0.013401,          0.00066736,             0.91175,             0.78431,             0.85512,             0.47584,            0.030357,           0.0078002,           0.0014096,            0.004951,            0.004951,            0.004951
                 104,            0.023525,            0.013204,          0.00054661,             0.92186,             0.78758,             0.85684,             0.46402,            0.030524,           0.0078018,           0.0020889,           0.0049015,           0.0049015,           0.0049015
                 105,            0.023394,            0.012303,          0.00064325,             0.87275,             0.85608,             0.86972,              0.4816,            0.029339,           0.0080451,           0.0003604,            0.004852,            0.004852,            0.004852
                 106,            0.023031,            0.012572,           0.0011329,             0.89586,             0.83601,             0.87742,             0.47213,            0.030194,           0.0080622,           0.0021696,           0.0048025,           0.0048025,           0.0048025
                 107,            0.023231,            0.012649,          0.00091095,             0.89082,             0.80901,              0.8734,             0.49968,            0.030291,           0.0079595,           0.0017999,            0.004753,            0.004753,            0.004753
                 108,            0.022364,            0.012672,          0.00055771,             0.89607,             0.78504,             0.84266,             0.48346,            0.028986,           0.0077834,            0.003108,           0.0047035,           0.0047035,           0.0047035
                 109,            0.022468,            0.012616,          0.00047379,             0.90684,             0.80263,             0.85353,             0.48458,            0.029083,           0.0080489,           0.0017635,            0.004654,            0.004654,            0.004654
                 110,            0.021348,             0.01185,          0.00062793,             0.84969,             0.81741,              0.8561,             0.45713,            0.029988,           0.0082511,           0.0020408,           0.0046045,           0.0046045,           0.0046045
                 111,            0.022412,            0.012494,          0.00073195,              0.9437,             0.77669,             0.85707,             0.46573,            0.030788,           0.0078772,           0.0015267,            0.004555,            0.004555,            0.004555
                 112,            0.022351,            0.013299,          0.00068729,             0.86312,             0.84423,             0.86578,             0.48128,            0.030548,            0.007717,           0.0013244,           0.0045055,           0.0045055,           0.0045055
